Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,2020-02-07T23:43:02,24953,699,1115
Guangdong,China,2020-02-07T10:13:06,1034,1,88
Zhejiang,China,2020-02-07T11:33:11,1006,0,123
Henan,China,2020-02-07T14:03:12,914,3,86
Hunan,China,2020-02-07T11:33:11,772,0,112
Anhui,China,2020-02-07T05:13:07,665,0,47
Jiangxi,China,2020-02-07T01:23:02,661,0,45
Chongqing,China,2020-02-07T23:33:02,426,2,31
Jiangsu,China,2020-02-07T14:03:12,408,0,43
Shandong,China,2020-02-07T11:33:11,386,0,37
Sichuan,China,2020-02-07T08:23:09,344,1,42
Beijing,China,2020-02-07T03:23:02,297,1,33
Heilongjiang,China,2020-02-07T07:43:02,277,3,12
Shanghai,China,2020-02-07T06:14:15,277,1,30
Fujian,China,2020-02-07T13:23:03,224,0,20
Shaanxi,China,2020-02-07T08:23:09,184,0,17
Guangxi,China,2020-02-07T00:33:02,172,0,17
Hebei,China,2020-02-07T12:03:04,172,1,22
Yunnan,China,2020-02-07T23:23:04,138,0,12
Hainan,China,2020-02-07T12:33:02,117,2,10
Shanxi,China,2020-02-07T23:43:02,104,0,15
Liaoning,China,2020-02-07T15:33:03,99,0,7
Guizhou,China,2020-02-07T11:13:07,81,1,6
Tianjin,China,2020-02-07T05:43:03,81,1,2
Gansu,China,2020-02-07T02:33:06,67,0,9
Jilin,China,2020-02-07T00:43:02,65,1,4
Cruise Ship,Others,2020-02-07T16:33:03,61,0,0
Inner Mongolia,China,2020-02-07T11:13:07,50,0,5
Ningxia,China,2020-02-07T11:13:07,43,0,5
Xinjiang,China,2020-02-07T01:43:02,39,0,0
,Singapore,2020-02-07T03:03:03,30,0,0
Hong Kong,Hong Kong,2020-02-07T11:53:02,25,1,0
,Japan,2020-02-07T04:13:20,25,0,1
,Thailand,2020-02-04T15:33:03,25,0,5
,"Korea, Republic of",2020-02-07T03:03:03,24,0,1
Qinghai,China,2020-02-06T02:13:15,18,0,3
Taiwan,"Taiwan, Province of China",2020-02-06T15:03:04,16,0,1
,Germany,2020-02-07T16:33:03,13,0,0
,Malaysia,2020-02-07T09:13:21,12,0,1
Macau,Macao,2020-02-06T14:23:04,10,0,1
,Viet Nam,2020-02-06T01:13:08,10,0,1
,France,2020-02-01T01:52:40,6,0,0
Queensland,Australia,2020-02-07T01:03:02,5,0,0
,United Arab Emirates,2020-02-02T05:43:01,5,0,0
New South Wales,Australia,2020-02-06T03:13:22,4,0,2
Victoria,Australia,2020-02-01T18:12:49,4,0,0
British Columbia,Canada,2020-02-07T05:43:03,4,0,0
,India,2020-02-03T21:43:02,3,0,0
,Italy,2020-02-07T17:53:02,3,0,0
,Philippines,2020-02-07T16:43:04,3,1,0
,Ukraine,2020-02-07T18:33:02,3,0,0
South Australia,Australia,2020-02-02T22:33:07,2,0,0
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
,Russian Federation,2020-01-31T16:13:45,2,0,0
"Chicago, IL",United States,2020-02-01T19:43:03,2,0,0
"San Benito, CA",United States,2020-02-03T03:53:02,2,0,0
"Santa Clara, CA",United States,2020-02-03T00:43:02,2,0,0
,Belgium,2020-02-04T15:43:02,1,0,0
,Cambodia,2020-01-31T08:15:53,1,0,0
"London, ON",Canada,2020-02-04T00:03:11,1,0,0
,Finland,2020-01-31T08:15:53,1,0,0
Tibet,China,2020-02-01T01:52:40,1,0,0
,Nepal,2020-01-31T08:15:53,1,0,0
,Spain,2020-02-01T23:43:02,1,0,0
,Sri Lanka,2020-01-31T08:15:53,1,0,0
,Sweden,2020-02-01T02:13:26,1,0,0
"Boston, MA",United States,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",United States,2020-02-01T19:53:03,1,0,0
"Madison, WI",United States,2020-02-05T21:53:02,1,0,0
"Orange, CA",United States,2020-02-01T19:53:03,1,0,0
"Seattle, WA",United States,2020-02-01T19:43:03,1,0,0
"Tempe, AZ",United States,2020-02-01T19:43:03,1,0,0
