Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,2020-02-13T14:13:06,48206,1310,3459
Guangdong,China,2020-02-13T13:33:01,1241,2,314
Henan,China,2020-02-13T14:53:02,1169,10,296
Zhejiang,China,2020-02-13T14:13:06,1145,0,360
Hunan,China,2020-02-13T11:53:02,968,2,339
Anhui,China,2020-02-13T13:33:01,910,5,157
Jiangxi,China,2020-02-13T01:13:08,872,1,170
Jiangsu,China,2020-02-13T10:33:23,570,0,139
Chongqing,China,2020-02-13T23:23:05,529,4,128
Shandong,China,2020-02-13T13:33:01,509,2,105
Sichuan,China,2020-02-13T13:33:01,451,1,104
Heilongjiang,China,2020-02-13T12:13:06,395,9,33
Beijing,China,2020-02-13T14:13:06,366,3,69
Shanghai,China,2020-02-13T06:13:15,315,1,62
Fujian,China,2020-02-13T10:33:23,279,0,57
Hebei,China,2020-02-13T10:33:23,265,3,68
Shaanxi,China,2020-02-13T10:33:23,229,0,46
Guangxi,China,2020-02-13T00:23:10,222,2,33
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0
Hainan,China,2020-02-13T10:43:03,157,4,30
Yunnan,China,2020-02-13T08:43:08,156,0,27
Guizhou,China,2020-02-13T10:33:23,135,1,27
Shanxi,China,2020-02-13T23:23:05,126,0,36
Tianjin,China,2020-02-13T23:43:02,119,3,21
Liaoning,China,2020-02-13T14:33:02,117,1,22
Gansu,China,2020-02-13T15:53:03,90,2,39
Jilin,China,2020-02-13T13:33:01,84,1,24
Ningxia,China,2020-02-13T01:23:08,64,0,24
Xinjiang,China,2020-02-13T10:33:23,63,1,6
Inner Mongolia,China,2020-02-13T01:23:08,61,0,6
,Singapore,2020-02-13T14:33:02,58,0,15
Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
,Thailand,2020-02-13T17:53:03,33,0,12
,Japan,2020-02-13T12:23:05,28,1,9
,"Korea, Republic of",2020-02-12T14:43:03,28,0,7
,Malaysia,2020-02-13T10:53:02,19,0,3
Qinghai,China,2020-02-13T08:43:08,18,0,11
Taiwan,"Taiwan, Province of China",2020-02-09T09:13:11,18,0,1
,Germany,2020-02-13T15:13:11,16,0,1
,Viet Nam,2020-02-13T06:33:02,16,0,7
,France,2020-02-12T18:53:02,11,0,2
Macau,Macao,2020-02-13T14:13:06,10,0,3
,Ukraine,2020-02-12T19:03:06,9,0,1
,United Arab Emirates,2020-02-12T00:33:02,8,0,1
Queensland,Australia,2020-02-09T19:33:02,5,0,0
New South Wales,Australia,2020-02-13T17:53:03,4,0,4
Victoria,Australia,2020-02-13T17:53:03,4,0,4
British Columbia,Canada,2020-02-07T05:43:03,4,0,0
,India,2020-02-13T18:53:02,3,0,0
,Italy,2020-02-07T17:53:02,3,0,0
,Philippines,2020-02-12T07:43:02,3,1,1
South Australia,Australia,2020-02-02T22:33:07,2,0,0
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
,Russian Federation,2020-02-12T14:43:03,2,0,2
,Spain,2020-02-09T20:33:03,2,0,0
"Chicago, IL",United States,2020-02-09T19:03:03,2,0,2
"San Benito, CA",United States,2020-02-03T03:53:02,2,0,0
"San Diego County, CA",United States,2020-02-13T03:13:08,2,0,0
"Santa Clara, CA",United States,2020-02-03T00:43:02,2,0,0
,Belgium,2020-02-04T15:43:02,1,0,0
,Cambodia,2020-02-12T07:43:02,1,0,1
"London, ON",Canada,2020-02-12T18:53:03,1,0,1
,Finland,2020-02-12T00:03:12,1,0,1
Tibet,China,2020-02-12T06:43:02,1,0,1
,Nepal,2020-02-12T14:43:03,1,0,1
,Sri Lanka,2020-02-08T03:43:03,1,0,1
,Sweden,2020-02-01T02:13:26,1,0,0
"Boston, MA",United States,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",United States,2020-02-01T19:53:03,1,0,0
"Madison, WI",United States,2020-02-05T21:53:02,1,0,0
"Orange, CA",United States,2020-02-01T19:53:03,1,0,0
"San Antonio, TX",United States,2020-02-13T18:53:02,1,0,0
"Seattle, WA",United States,2020-02-09T07:03:04,1,0,1
"Tempe, AZ",United States,2020-02-01T19:43:03,1,0,0
