Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,2020-02-18T23:13:11,61682,1921,9128
Guangdong,China,2020-02-18T13:43:02,1328,4,565
Henan,China,2020-02-18T14:23:02,1257,19,522
Zhejiang,China,2020-02-18T12:23:02,1172,0,535
Hunan,China,2020-02-18T13:43:02,1007,4,527
Anhui,China,2020-02-18T13:43:02,982,6,361
Jiangxi,China,2020-02-18T01:33:01,933,1,310
Jiangsu,China,2020-02-18T12:33:02,629,0,280
Chongqing,China,2020-02-18T23:23:03,555,5,254
Shandong,China,2020-02-18T12:13:08,543,3,211
Diamond Princess cruise ship,Others,2020-02-18T16:53:03,542,0,0
Sichuan,China,2020-02-18T12:33:02,508,3,169
Heilongjiang,China,2020-02-18T11:03:12,464,11,111
Beijing,China,2020-02-18T02:13:06,387,4,122
Shanghai,China,2020-02-18T05:03:08,333,1,177
Hebei,China,2020-02-18T23:53:01,306,4,136
Fujian,China,2020-02-18T09:43:08,292,0,93
Guangxi,China,2020-02-18T12:33:02,242,2,69
Shaanxi,China,2020-02-18T14:23:02,240,0,89
Yunnan,China,2020-02-18T09:43:08,172,0,57
Hainan,China,2020-02-18T10:43:02,163,4,79
Guizhou,China,2020-02-18T13:33:02,146,2,66
Shanxi,China,2020-02-18T23:23:03,131,0,61
Tianjin,China,2020-02-18T13:53:02,128,3,48
Liaoning,China,2020-02-18T12:53:02,121,1,53
Gansu,China,2020-02-18T14:53:02,91,2,62
Jilin,China,2020-02-18T07:43:02,89,1,36
,Singapore,2020-02-18T16:53:03,81,0,29
Xinjiang,China,2020-02-18T01:03:15,76,1,12
,Japan,2020-02-18T17:23:04,74,1,13
Inner Mongolia,China,2020-02-18T02:03:06,73,0,8
Ningxia,China,2020-02-18T10:23:03,70,0,42
Hong Kong,Hong Kong,2020-02-18T23:43:02,62,1,2
,Thailand,2020-02-17T07:33:02,35,0,15
,"Korea, Republic of",2020-02-18T03:43:02,31,0,12
,Malaysia,2020-02-18T16:23:02,22,0,13
Taiwan,"Taiwan, Province of China",2020-02-17T15:43:02,22,1,2
Qinghai,China,2020-02-18T07:43:02,18,0,15
,Germany,2020-02-18T17:03:03,16,0,12
,Viet Nam,2020-02-13T06:33:02,16,0,7
,France,2020-02-15T20:53:02,12,1,4
Macau,Macao,2020-02-16T12:03:06,10,0,5
,Ukraine,2020-02-16T16:23:06,9,0,8
,United Arab Emirates,2020-02-16T20:43:02,9,0,4
Queensland,Australia,2020-02-09T19:33:02,5,0,0
British Columbia,Canada,2020-02-17T08:03:07,5,0,0
New South Wales,Australia,2020-02-13T17:53:03,4,0,4
Victoria,Australia,2020-02-13T17:53:03,4,0,4
,India,2020-02-16T07:43:02,3,0,3
,Italy,2020-02-07T17:53:02,3,0,0
,Philippines,2020-02-12T07:43:02,3,1,1
South Australia,Australia,2020-02-17T08:13:09,2,0,2
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
,Russian Federation,2020-02-12T14:43:03,2,0,2
,Spain,2020-02-15T17:23:04,2,0,2
"Chicago, IL",United States,2020-02-09T19:03:03,2,0,2
"San Benito, CA",United States,2020-02-03T03:53:02,2,0,0
"San Diego County, CA",United States,2020-02-13T03:13:08,2,0,0
"Santa Clara, CA",United States,2020-02-03T00:43:02,2,0,0
,Belgium,2020-02-17T04:23:06,1,0,1
,Cambodia,2020-02-12T07:43:02,1,0,1
"London, ON",Canada,2020-02-12T18:53:03,1,0,1
,Egypt,2020-02-14T23:53:02,1,0,0
,Finland,2020-02-12T00:03:12,1,0,1
Tibet,China,2020-02-12T06:43:02,1,0,1
,Nepal,2020-02-12T14:43:03,1,0,1
,Sri Lanka,2020-02-08T03:43:03,1,0,1
,Sweden,2020-02-01T02:13:26,1,0,0
"Boston, MA",United States,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",United States,2020-02-01T19:53:03,1,0,0
"Madison, WI",United States,2020-02-05T21:53:02,1,0,0
"Orange, CA",United States,2020-02-01T19:53:03,1,0,0
"San Antonio, TX",United States,2020-02-13T18:53:02,1,0,0
"Seattle, WA",United States,2020-02-09T07:03:04,1,0,1
"Tempe, AZ",United States,2020-02-01T19:43:03,1,0,0
