Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,2020-02-03T23:23:03,13522,414,386
Guangdong,China,2020-02-03T12:53:02,725,0,21
Zhejiang,China,2020-02-03T13:33:02,724,0,43
Henan,China,2020-02-03T17:11:34,566,2,16
Hunan,China,2020-02-03T11:03:10,521,0,22
Anhui,China,2020-02-03T17:11:34,408,0,14
Jiangxi,China,2020-02-03T01:33:02,391,0,18
Chongqing,China,2020-02-03T23:43:02,337,2,9
Jiangsu,China,2020-02-03T11:03:10,271,0,8
Shandong,China,2020-02-03T17:11:34,259,0,7
Sichuan,China,2020-02-03T11:23:23,254,1,14
Beijing,China,2020-02-03T09:23:05,212,1,12
Shanghai,China,2020-02-03T07:03:12,203,1,10
Fujian,China,2020-02-03T11:33:13,179,0,1
Shaanxi,China,2020-02-03T02:33:02,128,0,0
Guangxi,China,2020-02-03T12:33:02,127,0,7
Heilongjiang,China,2020-02-03T07:13:19,121,2,2
Yunnan,China,2020-02-03T23:23:03,117,0,5
Hebei,China,2020-02-03T00:23:14,113,1,3
Liaoning,China,2020-02-03T17:11:34,74,0,1
Shanxi,China,2020-02-03T23:13:11,74,0,2
Hainan,China,2020-02-03T17:11:34,72,1,4
Tianjin,China,2020-02-03T13:53:03,60,0,1
Gansu,China,2020-02-03T23:03:08,55,0,3
Guizhou,China,2020-02-03T01:03:22,46,0,2
Inner Mongolia,China,2020-02-03T03:03:09,34,0,1
Jilin,China,2020-02-03T00:53:03,31,0,1
Ningxia,China,2020-02-03T08:33:03,31,0,1
Xinjiang,China,2020-02-03T01:13:21,24,0,0
,Japan,2020-02-01T18:53:03,20,0,1
,Thailand,2020-01-31T10:37:00,19,0,5
,Singapore,2020-02-02T01:03:32,18,0,0
Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
,"Korea, Republic of",2020-02-02T02:23:13,15,0,0
Qinghai,China,2020-02-03T02:43:01,13,0,0
,Germany,2020-02-03T20:53:02,12,0,0
Taiwan,"Taiwan, Province of China",2020-01-31T15:20:56,10,0,0
Macau,Macao,2020-02-02T04:23:14,8,0,0
,Malaysia,2020-01-31T08:15:53,8,0,0
,Viet Nam,2020-02-03T21:43:02,8,0,1
,France,2020-02-01T01:52:40,6,0,0
,United Arab Emirates,2020-02-02T05:43:01,5,0,0
New South Wales,Australia,2020-02-01T18:12:49,4,0,2
Victoria,Australia,2020-02-01T18:12:49,4,0,0
Ontario,Canada,2020-02-01T18:12:49,3,0,0
,India,2020-02-03T21:43:02,3,0,0
Queensland,Australia,2020-02-02T22:33:07,2,0,0
South Australia,Australia,2020-02-02T22:33:07,2,0,0
,Italy,2020-01-31T08:15:53,2,0,0
,Philippines,2020-02-02T03:33:07,2,1,0
,Russian Federation,2020-01-31T16:13:45,2,0,0
,Ukraine,2020-02-01T01:52:40,2,0,0
"Chicago, IL",United States,2020-02-01T19:43:03,2,0,0
"San Benito, CA",United States,2020-02-03T03:53:02,2,0,0
"Santa Clara, CA",United States,2020-02-03T00:43:02,2,0,0
,Cambodia,2020-01-31T08:15:53,1,0,0
British Columbia,Canada,2020-02-01T18:12:49,1,0,0
,Finland,2020-01-31T08:15:53,1,0,0
Tibet,China,2020-02-01T01:52:40,1,0,0
,Nepal,2020-01-31T08:15:53,1,0,0
,Spain,2020-02-01T23:43:02,1,0,0
,Sri Lanka,2020-01-31T08:15:53,1,0,0
,Sweden,2020-02-01T02:13:26,1,0,0
"Boston, MA",United States,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",United States,2020-02-01T19:53:03,1,0,0
"Orange, CA",United States,2020-02-01T19:53:03,1,0,0
"Seattle, WA",United States,2020-02-01T19:43:03,1,0,0
"Tempe, AZ",United States,2020-02-01T19:43:03,1,0,0
