Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Victoria,Australia,2020-03-07T02:03:30,11,0,7,-37.8136,144.9631
"New York County, NY",United States,2020-03-07T18:23:05,11,0,0,40.7128,-74.006
,Estonia,2020-03-06T13:03:13,10,0,0,58.5953,25.0136
Macau,Macao,2020-03-06T10:23:03,10,0,10,22.1667,113.55
,Azerbaijan,2020-03-07T02:13:09,9,0,0,40.1431,47.5769
,Romania,2020-03-07T10:13:23,9,0,3,46.0,25.0
"San Francisco County, CA",United States,2020-03-07T23:53:03,9,0,0,37.7749,-122.4194
,Argentina,2020-03-07T02:13:09,8,0,0,-38.4161,-63.6167
,Qatar,2020-03-04T00:03:15,8,0,0,25.3548,51.1839
South Australia,Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007
,Slovenia,2020-03-06T15:33:03,7,0,0,46.1512,14.9955
,Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
,Mexico,2020-03-06T16:43:04,6,0,1,23.0,-102.0
,Pakistan,2020-03-06T13:03:12,6,0,0,30.3753,69.3451
,Philippines,2020-03-07T10:13:23,6,1,1,13.0,122.0
"Cook County, IL",United States,2020-03-07T01:53:03,6,0,2,41.7377,-87.6976
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886
,Poland,2020-03-06T16:43:04,5,0,0,51.9194,19.1451
,Saudi Arabia,2020-03-05T17:53:03,5,0,0,24.0,45.0
"Harris County, TX",United States,2020-03-07T05:13:03,5,0,0,29.7752,-95.3103
"Placer County, CA",United States,2020-03-06T23:13:07,5,1,0,39.0916,-120.8039
"Unassigned Location, WA",United States,2020-03-06T00:33:03,5,0,0,47.7511,-120.7401
,Chile,2020-03-05T18:13:04,4,0,0,-35.6751,-71.543
,Georgia,2020-03-05T13:53:03,4,0,0,42.3154,43.3569
,Hungary,2020-03-07T03:53:03,4,0,0,47.1625,19.5033
,Indonesia,2020-03-06T12:33:03,4,0,0,-0.7893,113.9213
,Senegal,2020-03-04T20:43:02,4,0,0,14.4974,-14.4524
"Bergen County, NJ",United States,2020-03-07T02:53:02,4,0,0,40.9263,-74.077
"Nassau County, NY",United States,2020-03-07T00:03:28,4,0,0,40.6546,-73.5594
Western Australia,Australia,2020-03-05T17:13:35,3,1,0,-31.9505,115.8605
,Bosnia and Herzegovina,2020-03-07T02:13:09,3,0,0,43.9159,17.6791
" Montreal, QC",Canada,2020-03-07T02:23:08,3,0,0,45.5017,-73.5673
,Malta,2020-03-07T20:43:03,3,0,0,35.9375,14.3754
,North Macedonia,2020-03-06T20:23:11,3,0,0,41.6086,21.7453
,Saint Barthélemy,2020-03-04T02:43:03,3,0,0,17.9,-62.8333
"Contra Costa County, CA",United States,2020-03-06T19:43:02,3,0,0,37.8534,-121.9018
"Douglas County, CO",United States,2020-03-07T01:53:03,3,0,0,39.2587,-104.9389
