Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/24/20 17:00,549.0,24.0,31.0
Guangdong,China,1/24/20 17:00,53.0,,2.0
Zhejiang,China,1/24/20 17:00,43.0,,1.0
Beijing,China,1/24/20 17:00,36.0,,1.0
Chongqing,China,1/24/20 17:00,27.0,,
Hunan,China,1/24/20 17:00,24.0,,
Guangxi,China,1/24/20 17:00,23.0,,
Shanghai,China,1/24/20 17:00,20.0,,1.0
Jiangxi,China,1/24/20 17:00,18.0,,
Sichuan,China,1/24/20 17:00,15.0,,
Shandong,China,1/24/20 17:00,15.0,,
Anhui,China,1/24/20 17:00,15.0,,
Fujian,China,1/24/20 17:00,10.0,,
Henan,China,1/24/20 17:00,9.0,,
Jiangsu,China,1/24/20 17:00,9.0,,
Hainan,China,1/24/20 17:00,8.0,,
Tianjin,China,1/24/20 17:00,8.0,,
Yunnan,China,1/24/20 17:00,5.0,,
Shaanxi,China,1/24/20 17:00,5.0,,
Heilongjiang,China,1/24/20 17:00,4.0,1.0,
Liaoning,China,1/24/20 17:00,4.0,,
Guizhou,China,1/24/20 17:00,3.0,,
Jilin,China,1/24/20 17:00,3.0,,
Taiwan,"Taiwan, Province of China",1/24/20 17:00,3.0,,
Ningxia,China,1/24/20 17:00,2.0,,
Hong Kong,Hong Kong,1/24/20 17:00,2.0,,
Macau,Macao,1/24/20 17:00,2.0,,
Hebei,China,1/24/20 17:00,2.0,1.0,
Gansu,China,1/24/20 17:00,2.0,,
Xinjiang,China,1/24/20 17:00,2.0,,
Shanxi,China,1/24/20 17:00,1.0,,
Inner Mongolia,China,1/24/20 17:00,1.0,,
Qinghai,China,1/24/20 17:00,,,
Washington,United States,1/24/20 17:00,1.0,,
Chicago,United States,1/24/20 17:00,1.0,,
,Japan,1/24/20 17:00,2.0,,
,Thailand,1/24/20 17:00,5.0,,
,"Korea, Republic of",1/24/20 17:00,2.0,,
,Singapore,1/24/20 17:00,3.0,,
,Viet Nam,1/24/20 17:00,2.0,,
,France,1/24/20 17:00,2.0,,
