Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/30/20 16:00,4903,162.0,90.0
Zhejiang,China,1/30/20 16:00,428,,4.0
Guangdong,China,1/30/20 16:00,354,,10.0
Henan,China,1/30/20 16:00,278,2.0,2.0
Hunan,China,1/30/20 16:00,277,,2.0
Anhui,China,1/30/20 16:00,200,,2.0
Chongqing,China,1/30/20 16:00,182,,1.0
Jiangxi,China,1/30/20 16:00,162,,5.0
Shandong,China,1/30/20 16:00,158,,1.0
Sichuan,China,1/30/20 16:00,142,1.0,1.0
Jiangsu,China,1/30/20 16:00,129,,1.0
Beijing,China,1/30/20 16:00,114,1.0,4.0
Shanghai,China,1/30/20 16:00,112,1.0,5.0
Fujian,China,1/30/20 16:00,101,,
Guangxi,China,1/30/20 16:00,78,,2.0
Yunnan,China,1/30/20 16:00,70,,
Hebei,China,1/30/20 16:00,65,1.0,
Shaanxi,China,1/30/20 16:00,63,,
Hainan,China,1/30/20 16:00,46,1.0,1.0
Heilongjiang,China,1/30/20 16:00,44,2.0,
Liaoning,China,1/30/20 16:00,41,,1.0
Shanxi,China,1/30/20 16:00,35,,1.0
Tianjin,China,1/30/20 16:00,31,,
Gansu,China,1/30/20 16:00,26,,
Inner Mongolia,China,1/30/20 16:00,19,,
Ningxia,China,1/30/20 16:00,17,,
Jilin,China,1/30/20 16:00,14,,1.0
Xinjiang,China,1/30/20 16:00,14,,
Guizhou,China,1/30/20 16:00,12,,1.0
Hong Kong,Hong Kong,1/30/20 16:00,10,,
Taiwan,"Taiwan, Province of China",1/30/20 16:00,9,,
Qinghai,China,1/30/20 16:00,8,,
Macau,Macao,1/30/20 16:00,7,,
Tibet,China,1/30/20 16:00,1,,
Washington,United States,1/30/20 16:00,1,,
Illinois,United States,1/30/20 16:00,1,,
California,United States,1/30/20 16:00,2,,
Arizona,United States,1/30/20 16:00,1,,
,Japan,1/30/20 16:00,11,,1.0
,Thailand,1/30/20 16:00,14,,5.0
,"Korea, Republic of",1/30/20 16:00,4,,
,Singapore,1/30/20 16:00,10,,
,Viet Nam,1/30/20 16:00,2,,
,France,1/30/20 16:00,5,,
,Nepal,1/30/20 16:00,1,,
,Malaysia,1/30/20 16:00,8,,
Ontario,Canada,1/30/20 16:00,2,,
British Columbia,Canada,1/30/20 16:00,1,,
,Cambodia,1/30/20 16:00,1,,
,Sri Lanka,1/30/20 16:00,1,,
New South Wales,Australia,1/30/20 16:00,4,,2.0
Victoria,Australia,1/30/20 16:00,2,,
Queensland,Australia,1/30/20 16:00,3,,
Bavaria,Germany,1/30/20 16:00,4,,
,Finland,1/30/20 16:00,1,,
,United Arab Emirates,1/30/20 16:00,4,,
,Philippines,1/30/20 16:00,1,,
,India,1/30/20 16:00,1,,
